InvoiceNo,CustomerID,ProductID,Product,Category,Quantity,UnitPrice,Discount,PaymentMethod,Country,City,CustomerAge,CustomerGender,SignupDate,InvoiceDate,ShippingCost,DeliveryTimeDays,ReturnStatus,CustomerTenure,Device,Revenue,Profit,OrderValue,Year,Month,Day,DayOfWeek,WeekOfYear,CustomerLifetimeDays,ProfitMargin,AvgOrderValue,HighValueCustomer,CohortMonth,OrderMonth
4174,10108,244,Tablet,Accessories,2,331.62290031352825,0.13306900364955082,Card,India,Toronto,33,Female,2023-11-22,2023-02-26,17.307628962336818,7,Yes,1,Desktop,574.9883427628655,161.4454575989078,592.2959717252023,2023,2,26,6,8,-269,0.2807804012567443,1651.80146852154,0,2023-02,2023-02
4507,10004,380,Laptop,Accessories,6,588.1365428115082,0.2816630925426819,UPI,USA,London,42,Male,2023-01-02,2023-05-22,10.471430729008711,7,Yes,3,Desktop,2534.881111955144,275.969572565274,2545.352542684153,2023,5,22,0,21,140,0.10886884251246787,1850.9581124109795,0,2023-01,2023-05
1860,10118,369,Monitor,Accessories,4,358.7124937048735,0.08848374721270261,Card,UK,Mumbai,40,Female,2023-06-01,2023-07-29,30.022580083615768,7,Yes,3,Desktop,1307.8890723594134,215.13239015169353,1337.9116524430292,2023,7,29,5,30,58,0.16448825416332727,1345.0401548442724,0,2023-07,2023-07
2294,10032,390,Headphones,Accessories,3,819.454016542405,0.14263908185073612,Cash,Canada,Toronto,45,Female,2023-12-31,2023-03-13,19.713993045923267,2,No,3,Mobile,2107.703544011695,450.7006993145261,2127.4175370576186,2023,3,13,0,11,-293,0.21383495823928134,2874.0044855131327,0,2023-02,2023-03
2130,10117,354,Phone,Electronics,3,477.39353189259145,0.22707829780243244,Cash,USA,New York,64,Male,2023-03-06,2023-08-12,24.912109115061682,2,Yes,3,Mobile,1106.9634638655916,225.34264583960396,1131.8755729806533,2023,8,12,5,32,159,0.20356827772137315,2545.8154826268365,0,2023-02,2023-08
2095,10064,387,Laptop,Electronics,3,95.18837031582753,0.20673632714872744,Cash,UK,New York,33,Male,2023-11-22,2023-01-27,34.11260187517874,6,Yes,2,Mobile,226.52842874838117,52.30359711497398,260.6410306235599,2023,1,27,4,4,-299,0.23089197856517493,2380.062639211501,0,2023-01,2023-01
4772,10145,206,Tablet,Electronics,6,182.73147105190566,0.25909231572514685,Cash,UK,Toronto,60,Male,2023-03-10,2023-05-08,27.235658351357177,7,Yes,3,Desktop,812.3229063672288,166.93563502919125,839.558564718586,2023,5,8,0,19,59,0.2055040350588418,1709.9869196229188,0,2023-01,2023-05
4092,10176,332,Phone,Electronics,8,79.88257426723965,0.2990427542043327,Cash,USA,London,55,Female,2023-05-01,2023-04-16,32.912546769537926,3,Yes,1,Desktop,447.9541539634572,65.31184337779138,480.8667007329951,2023,4,16,6,15,-15,0.1458002851406069,2068.1324606578996,0,2023-03,2023-04
2638,10010,434,Tablet,Accessories,7,509.31688709403875,0.12805749863852686,UPI,India,Mumbai,28,Male,2023-04-19,2023-06-14,29.48900009511325,4,Yes,1,Desktop,3108.665283628906,435.88348470085515,3138.154283724019,2023,6,14,2,24,56,0.14021563755877436,2494.194147085926,0,2023-02,2023-06
3169,10084,244,Headphones,Electronics,4,124.21055140126262,0.03334526393499355,Cash,USA,Toronto,20,Female,2023-11-12,2023-08-03,38.290836737124465,3,Yes,1,Mobile,480.27487112510573,135.17308094828357,518.5657078622302,2023,8,3,3,31,-101,0.2814494138150997,2181.3222279577017,0,2023-01,2023-08
