CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster
10000,32,9,20269.97827127389,3,4,4,11,1
10001,210,1,1896.5058485605712,1,1,1,3,3
10002,8,7,13073.34159339123,4,3,3,10,2
10003,44,6,17735.320737176222,3,3,4,10,2
10004,23,10,18293.132819879607,3,4,4,11,1
10005,27,6,15325.51579689408,3,3,4,10,2
10006,110,4,12731.725159880905,1,2,3,6,2
10007,45,7,14510.92630274185,3,4,4,11,2
10008,10,4,8920.525316478173,4,2,2,8,0
10009,40,5,12751.189905256439,3,2,3,8,2
10010,14,9,22167.932298679,4,4,4,12,1
10011,47,6,8605.133217318038,3,3,2,8,2
10012,37,5,11766.042625276968,3,2,3,8,2
10013,6,7,10755.976099102689,4,4,3,11,2
10014,28,4,3777.326903464709,3,2,1,6,0
10015,34,3,13567.549535866037,3,1,3,7,2
10016,21,8,15052.808512222784,4,4,4,12,1
10017,66,3,5484.045251728571,2,1,1,4,0
10018,36,3,2268.7566102942196,3,1,1,5,0
10019,49,3,10625.468891020346,3,1,3,7,0
10020,58,2,2063.2139524275244,2,1,1,4,0
10021,115,2,3552.6356036443235,1,1,1,3,0
10022,70,3,9824.988250184713,2,1,2,5,0
10023,9,1,303.91381627320237,4,1,1,6,0
10024,81,9,9393.201730370845,2,4,2,8,2
10025,35,9,21953.612388291356,3,4,4,11,1
10026,121,3,6874.4560452091155,1,1,2,4,3
10027,77,3,14730.771926367568,2,1,4,7,2
10028,26,9,16768.467872736266,3,4,4,11,1
10029,90,4,6687.868000127566,2,2,2,6,0
10030,9,3,10132.101879688911,4,1,3,8,0
10031,29,7,8764.091236316937,3,4,2,9,2
10032,107,6,17144.478834934605,1,3,4,8,2
10033,25,6,12404.549889879032,3,3,3,9,2
10034,29,5,13717.238980367398,3,2,3,8,2
10035,12,6,15791.855013180622,4,3,4,11,2
10036,107,8,15520.616802882256,1,4,4,9,2
10037,82,9,25606.113184781047,2,4,4,10,1
10038,55,9,24781.02946741986,2,4,4,10,1
10039,19,11,26648.413423713973,4,4,4,12,1
10040,125,2,6523.599247026586,1,1,1,3,3
10041,19,5,4864.941663677984,4,2,1,7,0
10042,40,2,2505.6333288351516,3,1,1,5,0
10043,312,3,10160.286216211956,1,1,3,5,3
10044,153,3,3842.835765161139,1,1,1,3,3
10045,109,7,10572.623634030737,1,4,3,8,2
10046,37,11,18202.5725563029,3,4,4,11,1
10047,132,2,4634.211867743059,1,1,1,3,3
10048,1,6,9507.458299043306,4,3,2,9,2
10049,8,2,1647.4724235742983,4,1,1,6,0
10050,21,6,9253.36752234272,4,3,2,9,2
10051,134,2,4466.378447114478,1,1,1,3,3
10052,98,6,13783.787569845666,1,3,3,7,2
10053,94,6,15950.266847532144,1,3,4,8,2
10054,25,9,17188.39103349799,3,4,4,11,1
10055,92,5,12274.503317443614,1,2,3,6,2
10056,53,7,8923.467272896343,2,4,2,8,2
10058,36,8,21411.659632219358,3,4,4,11,1
10059,126,4,3615.3010405013465,1,2,1,4,3
10060,144,6,18662.64549217995,1,3,4,8,2
10061,24,10,15638.205449981393,3,4,4,11,1
10062,29,11,24006.519589484687,3,4,4,11,1
10063,14,5,12767.431629309307,4,2,3,9,2
10064,196,4,9370.48570390154,1,2,2,5,3
10065,89,3,5957.661188938096,2,1,1,4,0
10066,23,6,12073.541500730873,3,3,3,9,2
10067,52,6,14898.278952020071,2,3,4,9,2
10068,85,4,5767.867535755711,2,2,1,5,0
10069,83,4,9320.977775946758,2,2,2,6,0
10070,219,1,8333.228690154228,1,1,2,4,3
10071,8,8,10768.053873509947,4,4,3,11,2
10072,106,5,16219.238089742048,1,2,4,7,2
10073,22,6,18852.255774145724,4,3,4,11,2
10074,57,5,11431.59602630429,2,2,3,7,2
10075,44,4,4661.68228731453,3,2,1,6,0
10076,29,2,2846.33568212506,3,1,1,5,0
10077,136,7,10032.758532244954,1,4,3,8,2
10078,69,5,9219.449559307071,2,2,2,6,2
10079,122,3,8297.915809496324,1,1,2,4,3
10080,52,7,15895.095970194718,2,4,4,10,2
10081,121,4,5661.688917709331,1,2,1,4,3
10082,81,4,7872.138885614976,2,2,2,6,0
10083,4,4,10336.824078783917,4,2,3,9,0
10084,131,5,10698.55490073691,1,3,3,7,3
10085,30,7,14623.623212371984,3,4,4,11,2
10086,37,2,4236.593738081536,3,1,1,5,0
10087,89,4,8859.576362917018,2,2,2,6,0
10088,75,4,9090.106875304986,2,2,2,6,0
10089,193,6,15786.844127673181,1,3,4,8,3
10090,86,3,7963.656934129077,2,1,2,5,0
10091,120,5,12735.080095611997,1,3,3,7,2
10092,8,6,10633.777518921199,4,3,3,10,2
10093,11,5,2300.4596651206116,4,3,1,8,0
10094,179,6,17598.67516702502,1,3,4,8,3
10095,85,3,5489.200712858828,2,1,1,4,0
10096,80,5,15558.87463119933,2,3,4,9,2
10097,4,9,17878.915602174482,4,4,4,12,1
10098,20,4,8861.38067146265,4,2,2,8,0
10099,17,3,8589.156813400585,4,1,2,7,0
10100,146,5,9340.941044822277,1,3,2,6,3
10101,26,2,5820.343405278691,3,1,1,5,0
10102,94,5,17396.26894655903,1,3,4,8,2
10103,2,9,20636.736418644177,4,4,4,12,1
10104,145,4,16576.749778517944,1,2,4,7,3
10105,17,3,4660.3246705467045,4,1,1,6,0
10106,11,6,9649.512723487114,4,3,2,9,2
10107,49,6,8852.515499839506,3,3,2,8,2
10108,32,8,13054.143752566557,3,4,3,10,2
10109,16,4,6761.843383183741,4,2,2,8,0
10110,3,8,22777.26733204636,4,4,4,12,1
10111,200,3,10755.445020596435,1,1,3,5,3
10112,18,7,12661.28638495234,4,4,3,11,2
10113,67,4,3688.317552217143,2,2,1,5,0
10114,39,10,22048.80814890385,3,4,4,11,1
10115,110,1,729.0654683564245,1,1,1,3,0
10116,40,5,8094.37057278474,3,3,2,8,0
